src,part,pvs,Frame,vqm,bitrate,resWidth,resHeight,GroupCount,mean_Blockiness,mean_SA,mean_Blockloss,mean_Blur,mean_TA,mean_Exposure,mean_Contrast,mean_Brightness,mean_Noise
SVT_1080p50seg09,6,0,0,0,0,0,0,50,1.0014118,80.1915568,0.0007142,2.70166,31.5294012,114.92,38.1489424,0.4605466,1.64728
SVT_1080p50seg09,7,0,0,0,0,0,0,50,1.0031432,75.1886932,0.0007142,2.72422,33.0552606,110.72,37.174834,0.450147,1.745216
SVT_1080p50seg09,8,0,0,0,0,0,0,50,0.9994718,73.4242078,0.0164274,2.79808,26.859467,114.6,38.3692076,0.456323,1.87683
SVT_1080p50seg09,9,0,0,0,0,0,0,50,0.9991558,83.1092688,0.024285,2.8683,16.260784,122.4,42.9003358,0.485348,2.135512
SVT_1080p50seg12,1,0,0,0,0,0,0,50,0.99877,128.591699,0.0185712,2.94558,26.4270646,111.72,35.6968736,0.4483214,1.455286
SVT_1080p50seg12,10,0,0,0,0,0,0,50,1.0003312,76.130037,0.0371428,3.21252,27.387851,115.16,32.2149034,0.455833,2.081804
SVT_1080p50seg12,2,0,0,0,0,0,0,50,0.9982646,105.8854868,0.0685712,3.15814,28.274333,114.96,37.7942,0.4581806,1.628918
SVT_1080p50seg12,3,0,0,0,0,0,0,50,0.9991084,84.3053266,0.155,3.63486,33.6010426,117.04,47.7801262,0.463809,2.028448
SVT_1080p50seg12,4,0,0,0,0,0,0,50,0.9998884,82.735055,0.1285714,3.80864,35.759538,112.66,47.2224478,0.4465772,1.875556
SVT_1080p50seg12,5,0,0,0,0,0,0,50,0.9992448,97.539728,0.0435712,3.45238,28.2305248,111.38,38.8539688,0.4416498,2.01124
SVT_1080p50seg12,6,0,0,0,0,0,0,50,0.9989398,95.2903892,0.1592854,3.3325,27.65757,113.96,34.7180432,0.4542914,2.020434
SVT_1080p50seg12,7,0,0,0,0,0,0,50,0.9978572,74.1759766,0.0885708,3.2878,32.7360192,117.56,39.376537,0.46476,2.026166
SVT_1080p50seg12,8,0,0,0,0,0,0,50,0.9990214,83.327878,0.090714,3.2299,29.4053362,113.3,33.8362976,0.4485016,2.074556
SVT_1080p50seg12,9,0,0,0,0,0,0,50,0.9991924,81.7495646,0.0157138,3.16684,23.946841,115.14,27.9124502,0.458438,1.989536
The_Foot_Music_Video_Segment07,1,0,0,0,0,0,0,50,0.8090824,22.4626922,2.8971432,9.06734,28.783478,124,53.192337,0.4885762,1.212216
The_Foot_Music_Video_Segment07,10,0,0,0,0,0,0,50,0.867305,34.2771228,2.0264304,5.94524,22.3316474,124.74,38.6368648,0.4906408,0.753712
The_Foot_Music_Video_Segment07,11,0,0,0,0,0,0,50,0.96749,50.37323,1.46429,2.659,1.38e-05,125,23.31856,0.49023,0
The_Foot_Music_Video_Segment07,12,0,0,0,0,0,0,50,1.0115852,39.1238518,1.3678562,2.72076,1.0562554,92.86,20.270449,0.3649178,0.00257
The_Foot_Music_Video_Segment07,13,0,0,0,0,0,0,50,1.0429848,56.73034,1,3.179,0.0013728,125,29.7098824,0.49044,0.0031
The_Foot_Music_Video_Segment07,2,0,0,0,0,0,0,50,0.8543554,39.0270576,0.8614282,4.62452,13.3368002,124.82,38.710199,0.49196,1.327028
The_Foot_Music_Video_Segment07,3,0,0,0,0,0,0,50,0.821358,21.5561326,1.9435718,6.52986,24.8320998,125.86,39.1214996,0.4955732,1.320408
The_Foot_Music_Video_Segment07,4,0,0,0,0,0,0,50,0.8997736,29.40908,2.4099998,6.83598,34.8856458,123.44,53.0781842,0.4858046,0.880074
The_Foot_Music_Video_Segment07,5,0,0,0,0,0,0,50,0.7971384,26.1272118,2.555714,8.83846,24.8175612,112.14,41.856561,0.4521826,1.346406
The_Foot_Music_Video_Segment07,6,0,0,0,0,0,0,50,0.7898104,24.5227954,4.3171426,7.50432,19.4695716,122.1,30.617365,0.4841252,1.284038
The_Foot_Music_Video_Segment07,7,0,0,0,0,0,0,50,0.831935,33.8817498,0.5871422,5.07246,13.1783918,125,34.6394022,0.492788,1.25775
The_Foot_Music_Video_Segment07,8,0,0,0,0,0,0,50,0.8465332,39.048341,0.8064284,4.48168,10.70765,124.12,32.613289,0.4918258,1.251962
The_Foot_Music_Video_Segment07,9,0,0,0,0,0,0,50,0.8571168,42.7052324,0.8571424,4.63548,11.5333942,125,34.7009528,0.4921742,1.325242
intel_bottles,1,0,0,0,0,0,0,50,1.0447922,20.1182546,6.6650006,5.2019,8.936725,120.46,16.5562638,0.4843734,1.071684
intel_bottles,2,0,0,0,0,0,0,50,1.070086,40.1811438,6.3221424,6.45996,16.9353172,128,32.3828892,0.5024522,1.023416
intel_bottles,3,0,0,0,0,0,0,50,1.130863,58.95535,1.8428566,6.67848,22.766336,126.96,39.8085064,0.4984386,0.985534
intel_bottles,4,0,0,0,0,0,0,50,1.1670002,67.0652034,3.236429,5.30876,15.0979606,126,40.468414,0.496436,0.97077
intel_bottles,5,0,0,0,0,0,0,50,1.1618704,69.9817886,4.3992852,4.74466,2.3701518,126,40.4200294,0.496323,0.968818
